Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
c73,96814.20000114744,2734.7370340629423,1989.9292143752505,2300.0,0.75,1.8837209302325582,1.127906976744186,69.60397999999999,0.91366368,43
c81,96837.30000114879,1666.4728003428318,1665.5690429192036,1500.0,1.25,1.7241379310344824,1.28448275862069,36.750640000000004,0.3880102400000001,58
p37,96863.40000115031,1566.1890628782212,1050.7044146421329,2200.0,1.1,1.844444444444444,1.155555555555556,86.59487999999999,0.07240960000000118,45
c87,96871.60000115079,2211.717676258646,1035.574440951459,2000.0,1.0,1.7333333333333336,1.2999999999999998,78.45428,0.7236576000000001,45
c82,96873.20000115088,1812.064676725917,1214.1529553518203,1500.0,0.75,1.884615384615384,1.153846153846154,95.81998,-1.0,52
w100,96912.30000115315,1856.8217101819353,494.16207644802614,2600.0,1.1,1.8108108108108105,1.2297297297297303,72.17286,0.9547657600000001,37
w118,96964.5000011562,3694.2562144535555,1374.2941365304466,1800.0,1.0,1.738095238095238,1.261904761904762,77.6216,0.7902719999999999,42
w146,96982.20000115722,1749.861651971917,318.35394068504263,1900.0,1.15,1.7954545454545454,1.2727272727272727,76.56332,0.8749343999999999,44
p21,96989.80000115767,1012.3073456937707,2128.8797958800324,1900.0,1.1,1.7659574468085104,1.2446808510638299,58.89512,0.74232192,47
t155,97003.20000115845,1757.0362137816846,332.0729670319706,1300.0,0.8500000000000001,2.0634920634920633,1.16005291005291,31.466196000000004,0.303459136,63
w101,97010.40000115887,2876.830691107125,2074.0961010668193,1400.0,0.9,1.846153846153846,1.1923076923076923,61.48403999999999,0.7837446399999999,52
c53,97022.80000115959,3243.1678222767173,1075.8839073038941,1100.0,0.95,1.727272727272727,1.272727272727273,89.22136,-1.0,55
p10,97028.2000011599,3130.9897844272523,1065.242130382306,1400.0,0.8,1.7894736842105265,1.2631578947368427,61.66954,0.78671264,57
p9,97035.20000116031,1817.642511721287,465.24111810086373,2300.0,1.0,1.8974358974358974,1.1282051282051284,68.4841,0.8957456000000001,39
w129,97059.70000116173,2323.305253286106,1830.5191403001318,2600.0,0.8500000000000001,1.8974358974358974,1.1282051282051284,74.73842,0.9958147200000003,39
w121,97061.10000116182,1749.2776541930048,1392.057212279964,1800.0,0.9,1.8163265306122447,1.2142857142857144,49.72612,0.59561792,49
w127,97073.80000116256,1236.9379937458252,294.5667022608146,1800.0,1.0,1.7678571428571426,1.2410714285714288,92.8473,-1.0,56
c52,97079.30000116288,1268.2624140202372,1453.5574222165862,2100.0,0.7,1.8409090909090906,1.170454545454546,98.39954,-1.0,44
c85,97081.60000116301,1426.1667381316224,931.2952035698762,2100.0,0.8,1.872340425531915,1.1595744680851063,35.80546,0.37288735999999995,47
w137,97114.50000116492,2223.76443341789,1051.4058150942592,1800.0,1.1,1.872340425531915,1.1808510638297873,70.28041999999999,0.92448672,47
w116,97114.80000116494,956.4379460693435,261.6783480328062,1900.0,0.8,1.8478260869565217,1.173913043478261,63.130739999999996,0.8100918400000001,46
p1,97127.60000116569,839.4657335837461,1855.7766457370933,2800.0,0.8500000000000001,1.9459459459459458,1.1216216216216217,82.02162,0.4382704000000004,37
c56,97130.00000116583,2592.420665123384,1499.861257035517,2000.0,1.0,1.7608695652173911,1.2608695652173916,94.46092,-1.0,46
p2,97151.00000116705,3120.8998314336054,1846.5059091234125,1900.0,1.05,1.8333333333333328,1.1875000000000002,58.67608,0.7388172799999999,48
c66,97154.30000116724,1715.084611179696,1276.121353253518,1700.0,0.8500000000000001,1.8703703703703707,1.1574074074074072,85.25082,0.1799343999999996,54
w106,97155.70000116732,1956.1000507076337,1707.8179381458237,1300.0,0.95,1.8947368421052633,1.1403508771929824,56.52786,0.70444576,57
w114,97186.70000116913,2387.2243244585734,1304.170941507317,2200.0,0.95,1.9512195121951217,1.0731707317073167,71.48304,0.44372864,41
p27,97186.90000116914,3080.5691069009886,1742.727917423555,2200.0,1.05,1.7,1.3374999999999997,72.06392000000001,0.9530227200000003,40
c86,97210.50000117051,2286.1166851188877,2412.348008269905,2100.0,1.0,1.8913043478260871,1.1413043478260874,84.79512,0.21639039999999987,46
t154,97227.10000117148,1757.0362137816846,332.0729670319706,2000.0,1.15,1.7399999999999993,1.3366666666666667,12.783678000000002,0.004538848000000012,50
w115,97230.30000117166,3323.4621422946425,1126.842149069754,1800.0,1.2000000000000002,1.7777777777777775,1.2555555555555555,88.64542,-1.0,45
p36,97242.00000117235,1998.6860250992336,2234.6565830756194,2200.0,1.0,1.8837209302325582,1.127906976744186,88.00222,-1.0,43
c97,97292.20000117527,1135.3605457784913,1475.3225043682253,1700.0,1.15,1.7358490566037734,1.3113207547169812,71.30016,0.9408025600000001,53
t153,97292.20000117527,1667.9718251054421,176.874366098375,1700.0,1.1,1.6603773584905663,1.484276729559749,8.918528,-1.0,53
p34,97308.40000117621,1546.1157042150448,1667.5230731706033,1500.0,0.9,1.9137931034482758,1.1379310344827591,45.66298,0.5306076799999999,58
c99,97333.20000117765,1174.3268298582882,1832.6204971789107,1800.0,1.05,1.7954545454545454,1.2045454545454546,59.529180000000004,0.7524668800000001,44
c91,97337.80000117792,3053.1232459702514,230.2789130516367,1900.0,0.95,1.826086956521739,1.173913043478261,64.78466,0.8365545600000002,46
c72,97339.30000117801,1428.955595675738,929.8969649251821,2400.0,0.6,1.9499999999999995,1.075,98.73302000000001,-1.5,40
w139,97340.60000117809,3084.8283936451394,227.447577675653,1700.0,1.05,1.807692307692308,1.2243589743589742,59.910180000000004,0.7585628800000002,52
c71,97350.20000117864,3114.362763916412,1016.6010841259905,1800.0,0.95,1.7868852459016393,1.2459016393442628,48.06146,0.56898336,61
w110,97378.30000118028,2064.8181691420064,2523.5882625443965,1600.0,0.8500000000000001,1.8510638297872335,1.1808510638297876,85.82932,0.13365440000000017,47
c65,97419.10000118265,2156.42045195974,1098.8796821253527,2300.0,1.05,1.720930232558139,1.279069767441861,42.321419999999996,0.47714271999999996,43
p35,97426.30000118307,1755.0577801894592,1152.0410887943515,1700.0,0.95,1.816326530612245,1.1938775510204083,52.86092,0.6457747200000001,49
c69,97436.20000118365,2304.8301965245046,1127.3255004715174,1800.0,1.0,1.708333333333333,1.322916666666667,96.54888,-1.0,48
p14,97446.50000118425,513.6304922856332,1643.9763350562437,2100.0,1.2000000000000002,1.8863636363636365,1.1250000000000002,97.00388,-1.0,44
p40,97457.90000118491,1145.7756448360035,1623.7122732095859,2300.0,1.15,1.8048780487804876,1.1951219512195124,43.0259,0.4884144000000001,41
t152,97464.6000011853,2230.6745451121624,1021.2932869455705,1400.0,0.5,1.8148148148148149,1.305555555555556,10.140488,-1.0,54
w122,97504.30000118761,1688.175457993222,1967.9366615436102,2000.0,1.1,1.853658536585366,1.1585365853658538,83.55736,0.3154111999999998,41
p0,97520.70000118857,1475.850320949355,1590.183804225312,2000.0,1.15,1.7872340425531907,1.2234042553191495,93.93954,-1.0,47
w149,97524.40000118878,1989.0418445933908,752.2217473781545,2400.0,0.95,1.8636363636363635,1.1590909090909092,76.01556000000001,0.9187551999999997,44
